;1;3;14;20;26;40
;1;6;18;38;46;51
;1;7;9;28;31;32
;1;10;15;19;34;56
;1;23;27;43;59;60
;1;36;42;44;49;58
;2;3;6;10;16;44
;2;4;5;11;46;49
;2;9;34;40;43;47
;2;12;17;27;39;52
;2;13;26;45;50;54
;2;15;21;22;23;29
;2;18;20;28;58;60
;2;19;35;41;42;55
;2;24;33;48;51;53
;3;4;12;31;33;56
;3;5;27;35;37;57
;3;13;47;48;49;52
;3;18;21;25;32;42
;3;28;34;36;50;51
;3;29;38;41;58;59
;4;6;7;35;36;59
;4;9;13;25;37;51
;4;14;24;29;44;50
;4;15;28;41;43;54
;4;16;19;45;47;53
;4;17;22;26;42;48
;4;23;32;39;40;55
;5;6;25;40;56;58
;5;8;16;30;31;60
;5;9;26;33;39;41
;5;12;23;34;45;48
;5;14;17;21;28;53
;5;15;24;38;42;52
;5;19;22;32;43;50
;5;29;47;51;54;55
;6;13;20;24;27;41
;6;21;26;31;55;57
;7;8;20;21;44;51
;7;10;26;46;52;58
;8;10;18;33;54;59
;9;11;17;29;35;45
;9;12;19;21;24;49
;9;14;15;16;48;55
;9;18;22;27;44;56
;9;23;42;46;53;54
;10;11;27;31;42;47
;10;20;39;49;50;57
;11;12;15;26;32;51
;11;13;28;38;56;57
;11;14;19;23;33;37
;11;16;22;24;39;54
;11;21;40;41;48;50
;11;25;43;44;52;55
;12;14;22;41;46;47
;12;16;28;37;40;42
;12;38;50;53;55;60
;13;15;35;39;44;53
;13;17;18;31;36;43
;13;29;33;34;42;60
;14;32;34;35;49;54
;14;39;42;43;45;51
;15;17;25;33;47;50
;15;27;36;40;45;46
;16;17;23;41;49;51
;16;21;33;35;43;46
;16;25;26;27;34;38
;16;29;32;36;52;56
;17;19;38;40;44;54
;17;24;34;37;46;55
;18;34;41;52;53;57
;19;28;29;39;46;48
;20;22;25;31;53;59
;21;36;37;38;39;47
;22;28;33;45;49;55
;22;35;40;51;52;60
;23;24;26;28;35;47
;25;36;48;54;57;60
;26;29;37;43;49;53
;32;37;41;44;45;60
